Price,Weight
853.00 ,0.47
1041.00 ,0.48
1120.00 ,0.48
923.00 ,0.45
923.00 ,0.45
1087.00 ,0.46
1159.00 ,0.48
900.00 ,0.41
824.00 ,0.41
914.00 ,0.42
940.00 ,0.39
1219.00 ,0.47
1169.00 ,0.48
1103.00 ,0.47
900.00 ,0.41
1181.00 ,0.47
1034.00 ,0.45
1034.00 ,0.45
931.00 ,0.41
1038.00 ,0.43
994.00 ,0.43
1071.00 ,0.45
1277.00 ,0.48
1313.00 ,0.46
1313.00 ,0.46
879.00 ,0.37
808.00 ,0.4
1028.00 ,0.38
1011.00 ,0.42
1108.00 ,0.45
1159.00 ,0.42
1112.00 ,0.44
1373.00 ,0.47
1165.00 ,0.47
1144.00 ,0.44
923.00 ,0.36
714.00 ,0.31
1181.00 ,0.47
971.00 ,0.41
961.00 ,0.43
818.00 ,0.37
1276.00 ,0.46
994.00 ,0.43
963.00 ,0.41
1071.00 ,0.45
1009.00 ,0.44
1054.00 ,0.44
726.00 ,0.32
982.00 ,0.44
1021.00 ,0.42
775.00 ,0.36
820.00 ,0.33
959.00 ,0.4
1077.00 ,0.44
787.00 ,0.32
1144.00 ,0.45
1094.00 ,0.45
1144.00 ,0.45
1395.00 ,0.48
1462.00 ,0.48
1395.00 ,0.48
1011.00 ,0.43
1351.00 ,0.46
1351.00 ,0.46
1144.00 ,0.45
1018.00 ,0.38
939.00 ,0.37
1450.00 ,0.47
1039.00 ,0.41
1408.00 ,0.47
970.00 ,0.47
1022.00 ,0.46
818.00 ,0.38
881.00 ,0.31
898.00 ,0.32
1240.00 ,0.41
1030.00 ,0.37
1181.00 ,0.46
1166.00 ,0.43
1272.00 ,0.4
862.00 ,0.41
1086.00 ,0.49
1071.00 ,0.48
1200.00 ,0.46
963.00 ,0.41
1219.00 ,0.47
1238.00 ,0.48
1027.00 ,0.44
735.00 ,0.33
1009.00 ,0.4
1036.00 ,0.39
1080.00 ,0.39
1027.00 ,0.44
1195.00 ,0.45
1072.00 ,0.41
1308.00 ,0.47
848.00 ,0.37
1415.00 ,0.46
1455.00 ,0.46
1218.00 ,0.45
1389.00 ,0.46
